,QID318_1,QID318_2,QID319_1,QID319_2,QID320_1,QID320_2,QID321_1,QID321_2,QID322_1,QID322_2,QID323_1,QID323_2,QID324_1,QID324_2,QID325_1,QID325_2,QID326_1,QID326_2,QID327_1,QID327_2,QID328_1,QID328_2,QID329_1,QID329_2,QID330_1,QID330_2,QID331_1,QID331_2,QID332_1,QID332_2,QID333_1,QID333_2,QID334_1,QID334_2,QID335_1,QID335_2,QID336_1,QID336_2,QID337_1,QID337_2,QID338_1,QID338_2,QID339_1,QID339_2,QID340_1,QID340_2,QID341_1,QID341_2,QID342_1,QID342_2,QID343_1,QID343_2,QID344_1,QID344_2,QID345_1,QID345_2,QID346_1,QID346_2,QID347_1,QID347_2,QID348_1,QID348_2,QID349_1,QID349_2,QID350_1,QID350_2,QID351_1,QID351_2,QID352_1,QID352_2,QID353_1,QID353_2,QID354_1,QID354_2,QID355_1,QID355_2,QID356_1,QID356_2,QID357_1,QID357_2,QID358_1,QID358_2,QID359_1,QID359_2,QID360_1,QID360_2,QID361_1,QID361_2,QID362_1,QID362_2,QID363_1,QID363_2,QID364_1,QID364_2,QID365_1,QID365_2,QID366_1,QID366_2,QID367_1,QID367_2,QID368_1,QID368_2,QID369_1,QID369_2,QID370_1,QID370_2,QID371_1,QID371_2,QID372_1,QID372_2,QID373_1,QID373_2,QID374_1,QID374_2,QID375_1,QID375_2,QID376_1,QID376_2,QID377_1,QID377_2,QID378_1,QID378_2,QID379_1,QID379_2,QID380_1,QID380_2,QID381_1,QID381_2,QID382_1,QID382_2,QID383_1,QID383_2,QID384_1,QID384_2,QID385_1,QID385_2,QID386_1,QID386_2,QID387_1,QID387_2,QID388_1,QID388_2,QID389_1,QID389_2,QID390_1,QID390_2,QID391_1,QID391_2,QID392_1,QID392_2,QID393_1,QID393_2,QID394_1,QID394_2,QID395_1,QID395_2,QID396_1,QID396_2,QID397_1,QID397_2,QID398_1,QID398_2,QID399_1,QID399_2,QID400_1,QID400_2,QID401_1,QID401_2,QID402_1,QID402_2,QID403_1,QID403_2,QID404_1,QID404_2,QID405_1,QID405_2,QID406_1,QID406_2,QID407_1,QID407_2,QID408_1,QID408_2,QID409_1,QID409_2,QID410_1,QID410_2,QID411_1,QID411_2,QID412_1,QID412_2,QID413_1,QID413_2,QID414_1,QID414_2,QID415_1,QID415_2,QID416_1,QID416_2,QID417_1,QID417_2,QID418_1,QID418_2,QID419_1,QID419_2,QID420_1,QID420_2,QID421_1,QID421_2,QID422_1,QID422_2,QID423_1,QID423_2,QID424_1,QID424_2,QID425_1,QID425_2,QID426_1,QID426_2,QID427_1,QID427_2,QID428_1,QID428_2,QID429_1,QID429_2,QID430_1,QID430_2,QID431_1,QID431_2,QID432_1,QID432_2,QID433_1,QID433_2,QID434_1,QID434_2,QID435_1,QID435_2,QID436_1,QID436_2,QID437_1,QID437_2,QID438_1,QID438_2,QID439_1,QID439_2,QID440_1,QID440_2,QID441_1,QID441_2,QID442_1,QID442_2,QID443_1,QID443_2,QID444_1,QID444_2,QID445_1,QID445_2,QID446_1,QID446_2,QID447_1,QID447_2,QID448_1,QID448_2,QID449_1,QID449_2,QID450_1,QID450_2,QID451_1,QID451_2,QID452_1,QID452_2,QID453_1,QID453_2,QID454_1,QID454_2,QID455_1,QID455_2,QID456_1,QID456_2,QID457_1,QID457_2,QID458_1,QID458_2,QID459_1,QID459_2,QID460_1,QID460_2,QID461_1,QID461_2,QID462_1,QID462_2,QID463_1,QID463_2,QID464_1,QID464_2,QID465_1,QID465_2,QID466_1,QID466_2
2,4,2,5,3,4,3,4,3,4,4,1,1,4,3,2,3,2,2,4,3,4,3,4,3,5,4,5,4,4,5,4,4,1,4,4,3,2,3,2,3,3,3,5,3,5,3,4,3,4,2,4,1,2,3,4,3,2,2,4,4,5,2,4,4,5,4,3,3,4,3,2,4,3,3,4,3,5,4,2,5,2,3,5,4,3,3,4,5,2,4,3,3,2,3,3,3,3,3,3,3,4,3,4,4,2,1,4,4,5,3,1,4,4,3,4,3,4,4,4,5,3,2,5,3,4,4,2,2,5,4,1,3,4,3,5,5,5,3,4,3,2,2,5,3,4,5,3,3,2,3,5,4,2,4,4,3,2,3,3,3,4,3,2,3,5,4,4,4,4,3,2,3,4,2,3,4,2,2,4,2,5,4,4,2,1,1,4,2,4,4,4,5,4,5,1,4,3,2,5,4,2,2,4,5,4,4,3,3,5,4,5,2,4,2,4,5,4,4,2,4,4,3,4,3,5,4,2,4,4,3,2,4,4,4,3,2,4,3,4,4,5,3,5,4,5,2,3,2,3,3,4,3,4,3,5,3,2,3,4,3,3,3,2,4,5,4,2,1,2,4,5,4,5,2,3,3,4,5,2,2,2,2,2,3,3,3,4,3,4,3,2,2,3,2,4,3,2,4
3,3,4,4,3,5,3,4,3,5,3,2,2,1,1,1,3,2,2,3,4,4,3,5,2,4,4,5,4,4,5,2,2,2,4,4,3,1,3,2,3,2,3,5,3,5,3,5,3,2,1,5,3,4,3,4,3,4,3,5,4,5,2,4,4,5,4,4,3,5,3,2,4,2,5,4,3,5,4,2,5,1,3,5,4,2,3,4,3,2,5,4,3,3,4,3,3,5,4,5,3,5,4,4,5,2,1,2,2,5,4,1,4,4,3,4,3,5,4,5,5,4,2,5,3,5,2,1,2,5,4,1,3,5,3,4,3,5,4,5,3,4,3,5,4,5,5,2,2,2,3,2,4,4,4,5,3,1,3,3,3,5,3,2,3,5,2,5,4,4,3,1,3,5,2,4,4,1,1,4,4,5,5,5,1,4,4,4,3,4,3,4,5,4,5,1,5,5,2,4,5,2,2,4,5,5,4,3,2,5,4,4,1,5,3,4,5,5,4,2,4,5,3,5,3,5,5,2,1,4,3,2,4,5,4,1,5,5,2,5,4,4,4,5,2,5,2,2,2,5,3,3,3,4,3,5,5,1,3,2,3,5,3,2,5,5,3,4,2,1,2,5,5,5,3,3,3,5,5,2,3,3,3,2,3,4,2,5,3,4,3,2,4,2,1,3,3,2,4
